school,sex,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,activities,nursery,higher,internet,romantic,G3,PC1,PC2,PC3,PC4,PC5
0,1,1,0,1,3,3,0,1,1,1,1,1,0,5,4.007484534,1.15224642,-2.184319846,2.261805927,-0.732833541
0,1,1,1,1,1,2,1,0,1,1,1,1,0,10,-0.590295495,0.819683539,-1.454394701,-2.211677763,0.398799092
0,1,1,0,1,4,2,3,1,0,1,1,1,0,15,-2.988264487,0.040108552,0.144657099,-0.312264366,0.180228116
0,1,1,0,1,1,1,2,0,0,1,1,1,0,15,-2.786919152,0.965358932,-0.915159149,0.834743533,2.112989848
0,1,1,1,1,4,2,0,1,1,1,1,1,0,16,-1.395673046,0.727937687,1.133608215,0.652766486,1.441412681
0,1,1,1,1,2,2,3,1,1,1,1,1,0,12,1.327745424,0.702031116,1.392443317,0.993662477,2.089205618
0,0,0,0,1,3,1,0,1,1,1,1,1,0,8,-1.855983621,-0.767412906,-1.118914034,-0.376237416,1.033403667
0,0,1,0,1,3,3,1,1,0,0,1,1,0,8,1.793934178,-1.008967868,-1.01560259,-3.034985157,-0.981146275
0,1,1,0,1,2,2,1,1,0,1,1,1,0,11,-0.670555322,-1.197719246,0.372972599,-1.035153041,1.71893659
0,1,1,0,1,1,3,2,1,0,1,1,1,0,15,-0.235968959,2.122574435,1.81956133,-2.480625386,-0.600814694
0,1,1,1,0,3,2,1,1,1,1,1,1,0,11,-1.915876284,0.214633947,-1.205143591,0.788911239,0.817237288
0,1,1,0,1,4,4,1,1,1,1,1,1,1,11,2.545067778,5.694840039,0.277541252,0.003702511,-0.121884441
0,1,1,0,1,1,3,1,1,0,0,1,1,0,12,0.028698983,2.991265631,-0.836102483,-0.049062767,2.167879692
0,1,1,0,1,3,3,3,1,1,1,1,1,0,17,-3.52189897,0.717071964,0.401951566,-0.691971869,1.938030154
0,1,0,0,1,4,0,0,1,1,1,1,1,1,16,-2.965248758,0.730784312,0.701674919,1.064391491,1.749726649
0,1,1,1,1,2,2,0,1,1,0,1,1,0,12,-1.788956377,-0.866904802,-1.20992214,-0.045041529,0.555946966
0,1,1,0,1,2,2,1,1,0,0,1,1,0,15,-1.207774612,-0.61635441,0.061539493,1.452728532,1.733366475
0,0,1,0,1,2,2,2,0,1,1,1,0,0,6,-0.467022012,-1.268633147,-1.342449456,-0.699748478,2.274694663
0,1,1,1,1,4,3,1,1,1,1,1,1,0,18,-2.978762255,0.581393727,0.433076355,1.422909165,0.825994933
0,1,0,0,0,2,4,3,1,1,1,1,1,1,15,-2.706591629,1.33396099,0.379101435,-0.651332708,-0.112538108
0,0,0,0,1,3,1,0,1,1,1,1,1,0,11,-2.636408786,0.005368531,-0.686946173,-0.272586875,0.977108147
0,0,0,0,1,0,2,3,1,1,1,1,0,0,13,-1.476267681,-1.458774734,1.115507591,-0.725317602,0.197734292
0,1,1,1,1,4,2,1,2,0,0,1,1,1,12,-3.647209326,1.421312592,0.842240359,0.268237998,1.219941218
0,1,1,0,1,3,4,0,0,1,1,1,1,0,18,-0.774861281,-2.050271777,-0.696197664,0.109215102,0.856431421
0,1,1,0,1,3,3,0,0,0,1,1,1,0,11,1.293774521,-0.48745072,0.064043657,-0.221957049,0.009340807
0,0,1,1,1,2,0,0,0,1,1,1,1,0,9,-1.809774879,-0.23250803,-2.079965322,-0.363525786,0.594706277
0,0,1,1,0,2,2,0,1,1,1,1,1,1,6,0.365621523,1.72350558,0.30575726,-1.185360542,-1.451217097
0,0,1,1,0,2,3,1,1,0,1,1,1,0,11,-4.025077251,0.268358331,2.029948301,-0.383814434,-1.096880089
0,1,1,0,1,1,3,3,1,1,1,1,1,0,20,-1.308049379,0.987450911,0.946186274,-0.126882093,1.332217937
0,1,1,0,1,4,2,1,1,0,1,1,0,0,14,-1.281891749,0.63946815,-2.953302853,0.472502281,-0.006014047
0,0,1,0,1,3,4,2,0,1,0,1,1,0,7,0.912844368,-0.129852605,1.356450683,-0.775257572,1.486119911
0,0,1,1,1,3,3,0,1,0,1,1,1,0,13,-1.840726851,-0.250323553,-0.458656539,0.020688241,1.06268752
0,0,1,1,1,1,2,2,1,0,1,1,1,0,13,2.267021171,2.752577772,-0.128798425,1.414057138,1.811932677
0,1,1,1,0,1,1,2,0,0,1,1,0,0,10,-0.269245257,2.374143847,-1.713826489,-1.230447413,1.396949568
0,0,1,0,1,3,3,0,1,0,1,1,1,0,11,1.543513288,2.977752059,0.785496329,-0.44089811,0.289721862
0,0,1,1,0,2,2,2,1,0,1,1,1,0,13,0.160682604,-2.014921975,-0.204744899,0.921171764,-0.755309006
0,0,1,0,0,2,2,2,1,1,1,1,1,1,10,-3.064765786,0.174509467,0.367312121,-0.538595814,-0.044255248
0,0,1,0,0,3,3,3,1,1,1,1,1,0,15,-3.224333212,0.837346972,-0.303292503,-1.509216899,0.668542147
0,1,1,0,1,4,1,3,1,1,1,1,0,0,15,-0.456306871,-2.369167008,-0.114077688,-0.348443029,1.493288827
0,1,1,1,1,2,0,1,0,1,1,1,1,0,9,-2.351727135,-0.153827736,0.682786526,-0.160473986,0.655393056
0,0,1,0,1,3,2,0,1,0,1,1,1,0,16,-0.348326748,2.694796434,-0.78117928,-1.015374682,-0.361592765
0,0,0,0,1,1,4,2,1,1,1,1,0,0,11,5.945807068,1.825881512,1.886444202,0.527733475,2.861248789
0,0,1,0,1,3,3,0,0,1,0,1,1,1,11,-0.089174109,-2.122490297,0.126947947,0.367231817,-0.591544206
0,0,1,1,1,2,3,3,0,1,1,1,1,0,9,0.304598996,2.216190973,-0.499418937,-0.381713618,0.032048775
0,0,1,0,1,4,1,1,1,1,1,1,1,0,9,0.115179224,2.25912692,-0.438647774,-0.140539382,0.445154851
0,0,1,1,1,3,3,3,0,1,1,1,1,1,10,-1.842828233,0.879302469,1.017014888,0.654309293,0.370150245
0,0,1,1,1,4,3,0,1,1,1,1,1,0,15,0.883757584,4.860379582,1.523279516,-3.38080769,-0.493761279
0,1,1,0,0,2,3,3,1,1,0,1,1,1,12,-0.062501235,-1.557861122,-0.769113608,0.097143095,-0.074530161
0,0,1,0,1,3,2,0,1,0,1,1,1,0,6,0.392938489,-1.199792066,-0.348835072,-1.903822236,1.084361577
0,0,0,1,1,1,3,3,1,0,1,1,1,0,8,-0.371087183,0.261143158,2.942862235,-0.047780801,-0.252643211
0,0,0,1,1,2,2,3,0,0,0,1,1,0,16,-1.656649605,-1.8223157,1.353952016,0.014935057,0.872615937
0,1,1,0,1,2,2,3,0,0,1,1,1,0,15,-2.089317077,-0.687970636,-0.584525308,-0.75617862,-0.429444466
0,1,1,0,1,2,2,0,1,0,1,1,1,0,10,3.406943914,-1.133459821,-0.282515102,-0.897579017,0.950473081
0,0,0,0,1,2,2,3,1,0,0,1,1,1,5,0.086632451,-0.57285103,0.652638098,0.302858344,1.703850366
0,1,1,0,1,2,2,3,1,1,1,1,0,0,14,-0.199128543,1.620544495,-1.118721707,-0.623668827,0.850798923
0,1,1,0,1,4,2,1,1,1,1,1,1,0,10,-0.550493758,-1.149426135,0.684016209,0.034565631,0.015466537
0,1,1,0,1,4,2,0,1,1,1,1,1,0,10,1.554116466,-2.946261093,-1.008809511,0.6997233,0.336086293
0,0,1,0,1,2,2,3,1,0,1,1,1,1,11,-0.214562602,0.631922487,-2.368739575,-1.288068933,-1.42740997
0,1,1,0,1,2,2,1,1,1,1,0,1,0,10,-0.489425222,-0.274749611,0.101881504,-2.178074403,0.779855711
0,0,1,0,1,0,2,0,1,0,1,1,1,0,5,-1.148428825,-0.804068764,-0.270745479,0.291134636,1.200061495
0,1,1,0,1,2,3,0,0,1,0,1,1,1,12,-0.124933387,-0.679138172,-1.771191992,0.705316286,0.229905331
0,1,1,0,1,2,2,1,1,0,0,1,1,0,11,-0.402777849,-0.352238041,1.726553706,0.296834832,1.551880509
0,0,1,1,1,3,2,3,1,0,1,1,1,0,6,1.359158481,-1.531656167,1.000605212,-0.845717678,1.404735522
0,1,1,1,1,3,3,1,1,1,1,1,1,0,15,0.854762818,2.072791186,-2.359605321,0.072822167,0.790741119
0,0,1,0,1,2,2,1,0,1,0,1,1,0,10,0.330918136,-1.15748656,-0.677641503,-0.039328967,-0.548985255
0,0,1,0,1,3,3,3,0,0,1,1,1,1,8,-1.562194103,0.564637761,0.852011681,0.270488593,-0.493300553
0,0,1,1,1,0,2,0,1,0,1,1,0,0,6,-0.031966112,-1.590250358,0.056434483,0.239905792,-0.464893911
0,0,1,0,1,2,2,3,1,1,1,1,1,0,14,1.402523967,3.460194058,-1.373536229,-2.110748559,-0.763181751
0,1,1,0,1,3,2,3,0,1,0,1,1,0,10,-0.29405328,-0.007657024,-1.447917098,-0.372530794,0.35026462
0,1,1,1,0,4,1,3,1,0,1,1,0,0,7,-1.353409739,2.355274983,1.164358834,1.235972413,-0.029544885
0,0,1,0,1,2,2,1,1,0,1,1,1,1,8,1.339946995,-0.407788921,-0.372946478,-1.357708413,-0.622764802
0,0,1,0,1,3,2,3,1,1,1,1,1,0,18,-1.530260554,-0.669054819,-0.506328676,0.272546733,-0.083271933
0,0,1,1,1,2,2,1,0,0,1,1,0,0,6,-1.258308103,-1.31442518,0.574420002,0.465356246,-0.235340583
0,0,1,0,1,4,3,1,1,1,1,1,1,0,10,-0.119086693,-3.822161677,0.402058411,-2.500405481,-1.014061223
0,1,1,1,1,3,1,3,1,1,1,1,1,0,14,-1.786030871,0.417199789,-0.369457956,-0.924896532,0.726601375
0,0,0,0,1,0,2,1,1,1,1,1,1,0,10,0.403357294,-1.872706805,-0.544101399,0.732542634,0.59412542
0,1,0,0,1,3,2,3,1,1,0,1,1,0,15,-1.816865548,1.625991953,-0.709464544,0.558988007,-0.677208408
0,0,1,0,1,2,2,0,1,0,1,1,0,1,10,-1.482663616,0.110537974,-2.004843893,1.144927204,-0.297457754
0,0,1,0,1,2,2,3,1,1,0,1,1,0,14,3.386745647,5.554832643,-1.004236498,0.208607658,0.043280412
0,0,1,0,1,2,0,0,1,0,1,1,1,0,8,-3.381733147,1.180618917,0.460437663,0.908447027,0.424460727
0,1,1,0,1,3,3,2,1,1,1,1,1,0,5,-2.303515878,0.970029853,-1.598817668,0.479224014,1.406248419
0,1,1,0,1,3,4,2,0,1,1,1,1,1,17,-2.993832036,0.893149803,0.926516188,1.390845245,0.259935249
0,1,1,0,1,3,2,0,1,1,0,1,1,0,14,-1.908937108,-0.385617444,-0.529843042,0.053191755,-0.682121008
0,1,1,0,0,3,2,0,1,1,1,1,1,0,18,-2.718152793,-0.03634705,1.182686563,1.213691486,0.864881643
0,0,1,0,0,2,1,3,0,0,1,1,0,0,11,1.064269418,3.82714298,0.869295979,-3.460895311,-0.992019131
0,0,1,0,1,2,2,0,1,0,1,1,1,0,8,-2.639250619,1.498271576,-0.342667347,2.114286778,-0.036450615
0,1,1,0,1,3,2,1,0,1,1,1,1,0,18,-3.198413687,1.881418759,0.818388192,1.942117462,1.2643964
0,1,0,0,1,2,2,1,0,1,1,1,1,1,13,-1.58160663,-1.474447986,-1.458967587,-1.52647398,-0.821487096
0,0,1,1,1,1,1,2,1,1,1,1,1,1,16,-0.719742696,-1.979340114,-0.007950243,-1.787496714,-0.021428028
0,1,1,1,0,4,4,0,1,1,1,1,1,0,19,-2.499345332,0.717866101,1.979760198,0.328463818,0.131383583
0,0,0,0,1,3,2,3,0,1,1,1,1,0,10,-0.184271658,-2.127398612,-0.204447304,0.988053938,1.130241664
0,0,1,0,1,0,2,1,1,1,1,1,1,0,13,-2.218860438,1.847893287,-0.159216852,1.686409193,1.085644398
0,1,1,1,1,4,2,0,1,0,1,1,1,0,19,-2.428361292,0.900058867,-0.854990156,-0.027678358,0.370654417
0,1,0,0,1,1,3,3,1,1,1,1,1,1,9,-1.632322583,-0.284448008,-0.014198286,0.880638953,2.182722932
0,1,1,0,1,4,4,0,0,1,1,1,1,0,16,2.556778142,-0.258285031,-0.427237552,-0.076319421,-0.524419065
0,1,1,0,1,2,4,3,0,1,1,1,0,0,14,-1.600700063,1.279621047,-0.076037487,-0.389088193,0.719427768
0,1,1,0,1,2,3,1,0,1,1,1,1,0,13,-1.028555939,-1.431108907,2.362392975,-1.466706708,-0.255558322
0,1,0,0,1,2,2,0,0,1,1,1,1,0,8,-1.051157708,-0.345505706,1.635379956,2.435784676,0.797669521
0,1,1,0,1,2,2,3,0,0,1,1,1,0,13,-1.435612819,-0.200348459,0.15792417,-1.070116913,1.353205334
0,0,1,0,1,0,3,0,1,0,0,1,1,0,15,-0.253725754,3.17891546,-0.318884247,-0.078694192,-0.594784093
0,1,1,0,1,3,3,1,0,1,1,1,1,0,15,-0.00103388,-1.536001302,-1.250277265,1.598573337,1.259653578
0,0,1,1,1,2,1,0,0,1,1,1,1,1,13,-0.101500213,2.668477026,-0.19044874,1.817882518,2.261438691
0,1,1,0,1,1,2,0,1,1,1,1,1,0,13,-2.143957288,-0.361416828,-1.679260513,-0.225547921,0.163886707
0,0,1,0,1,2,2,1,1,0,1,1,1,1,8,2.496085146,-4.100577281,-0.533366938,0.627781266,-0.568827526
0,1,1,0,1,3,3,1,0,0,1,1,1,0,12,1.753289384,-1.830296586,-1.969683548,-0.443069481,-0.348213182
0,0,1,1,0,2,2,1,1,1,1,1,1,1,11,-0.067224652,4.662256492,1.774706114,0.569489325,0.376721614
0,0,1,0,1,0,2,0,2,0,0,0,0,0,9,0.067516723,-0.074837067,-2.584449991,-1.402093108,1.046942903
0,1,0,0,1,3,2,3,1,1,1,1,1,0,0,1.981241662,-2.849871414,-1.151731743,-1.017243821,2.086812305
0,1,0,0,1,4,4,0,1,1,1,1,1,0,18,1.047589948,0.162480425,0.599124395,0.267657306,-0.213227103
0,0,0,0,1,3,4,0,0,0,1,1,1,1,0,-0.514788613,1.548999865,-0.178181676,-2.184565008,-0.162999123
0,0,1,0,1,0,2,0,1,1,0,1,1,1,0,-0.491804452,-0.602914107,-3.036499926,-0.432961023,2.362582023
0,0,1,1,1,2,2,0,0,0,1,1,1,1,12,-1.939048401,0.209073997,-3.107738668,-0.221889866,0.743709034
0,0,1,0,0,3,2,0,0,0,1,1,1,0,11,1.920179872,1.865676845,-2.147530757,0.794389482,1.544859615
0,1,0,0,1,0,4,0,1,0,1,1,0,1,0,0.80660214,-1.637042589,-4.134437448,-0.712291284,1.155629149
0,0,1,0,1,3,0,0,1,1,1,1,1,1,0,1.260537696,-1.46550041,1.442228414,1.084077343,1.288846389
0,1,0,0,1,0,2,0,1,0,1,1,0,0,0,-3.032148981,0.990013155,0.042913549,-0.520934722,2.120552249
0,0,1,0,0,2,2,0,2,1,0,1,1,1,0,-2.177489702,-0.671674476,-1.428089291,-2.756545814,-0.416022759
0,1,1,1,1,3,2,0,1,0,1,1,0,1,12,1.820307071,-0.766051372,-0.286171043,-1.925501259,-0.880669046
0,0,1,0,1,4,4,0,1,1,1,1,1,0,15,-2.816300729,0.258769196,-1.722787024,-0.986891818,0.67776775
0,1,1,0,1,4,3,0,0,0,1,1,1,0,0,1.927681863,0.001076506,2.862696728,-0.437902483,0.077143705
0,1,1,1,1,3,3,3,0,1,1,1,1,0,9,3.281616919,-2.264794716,-3.199094426,2.023006782,0.520170671
0,0,1,0,1,4,3,0,1,1,1,1,1,0,11,0.47214291,-2.408865979,0.460502935,0.100420462,1.914132074
0,0,1,1,1,0,0,0,1,0,1,1,1,0,13,0.222908921,-2.001855438,-2.369026548,-1.082699127,-0.143446375
0,1,1,0,1,2,2,1,1,0,1,1,1,0,0,-0.612467857,-2.287776201,0.203952734,-0.29659663,1.519884251
0,0,1,0,1,2,3,0,0,0,1,1,1,0,11,-1.057292898,0.851756359,-2.683781468,-1.416311921,1.032007462
0,0,1,0,1,1,3,1,0,0,1,1,1,0,0,4.875165502,0.129313561,-0.255767529,0.36602791,2.627662846
0,0,1,0,1,0,2,0,1,0,0,1,1,0,11,5.279210773,-0.810825129,-0.751613658,-1.009492095,-0.523807571
0,1,1,0,1,4,4,0,1,0,1,0,1,1,0,3.341068606,1.324196946,1.718462419,0.31221663,1.256175543
0,1,1,1,0,3,2,0,1,0,1,1,1,0,10,0.258508685,0.083686935,-0.475736862,-1.823624689,-0.1664994
0,1,1,1,1,2,2,0,1,0,1,0,1,1,0,2.234975098,-1.669507302,-3.774419059,2.001584543,-0.817300998
0,1,1,1,1,0,2,0,1,1,1,1,0,1,14,-2.534142544,0.203466059,-1.403683307,-1.07933457,0.549764742
0,0,0,0,1,3,3,3,2,1,1,1,1,1,10,-0.98651133,-0.749766492,-0.561843363,0.453920244,-0.263936973
0,1,1,0,1,3,0,1,1,0,1,0,1,1,0,1.456685066,0.127103385,2.403591042,-2.316196324,0.338631875
0,0,1,0,1,2,4,0,1,0,1,1,0,1,12,4.652971345,-1.380193683,-0.067942375,0.35775483,0.100705339
0,1,0,0,1,0,3,0,1,1,1,1,0,0,8,-0.793169954,-1.100260702,2.068637952,-1.27532478,1.334606963
0,1,0,1,1,2,2,3,1,0,1,1,0,0,13,2.520625477,3.214894618,0.200384224,1.006722214,0.976405273
0,0,0,0,1,0,2,0,1,1,0,1,0,0,10,2.489816307,-1.98730598,-1.019329686,-1.191495986,0.983432555
0,1,0,0,1,0,2,0,1,0,0,1,0,0,15,2.010994996,0.120274314,-1.412296602,-0.005451096,0.137517818
0,1,1,0,1,2,3,0,0,0,1,1,1,1,12,3.793028574,-0.636300647,-1.537965056,-0.079797011,1.854739641
0,1,0,1,1,0,2,0,1,1,1,0,1,1,0,0.987870663,-0.314689206,0.336709171,0.227329364,0.332432853
0,1,0,0,1,2,2,0,1,0,1,1,1,1,7,4.877646431,-1.693178875,-0.712806693,0.46216534,1.523369907
0,1,1,1,1,2,2,0,1,1,1,1,0,0,0,-0.218183136,-0.58365659,0.064993973,0.706661366,-0.892219401
0,1,1,0,1,0,3,0,0,0,1,0,1,0,10,1.718007404,0.721744944,0.479675769,0.063956361,0.41755855
0,1,0,1,1,2,3,0,1,1,1,0,0,1,7,-2.345005245,-0.336064233,0.528388077,-0.390496512,0.083003471
0,1,1,0,1,3,3,0,1,1,0,0,0,0,12,-0.021459776,-1.892438517,-1.643266295,0.01675543,0.361733401
0,1,1,0,1,2,2,0,0,0,1,0,1,0,10,-3.018428367,0.861985492,-0.290000555,0.3241246,0.431606369
0,0,1,0,1,1,3,1,0,0,1,1,1,1,16,2.624202653,1.749312116,-2.351217109,-0.983268804,0.303415435
0,0,1,0,1,2,2,1,1,0,0,1,1,0,0,-0.099567536,-3.298993787,2.421396507,-0.220950318,0.821207616
0,0,1,0,1,1,1,3,1,0,1,1,1,1,14,-1.15421956,1.992560016,-0.800313246,0.896667813,0.668848855
0,1,1,0,1,2,2,0,0,1,0,1,1,0,0,1.135520914,-1.956845493,-1.954126919,0.73878201,-0.384456703
0,1,1,0,1,2,2,3,1,1,1,1,1,1,16,-0.742983033,0.111928271,-0.822741076,0.951022302,0.377268941
0,1,1,1,1,4,2,3,1,1,1,1,1,0,10,2.005741254,3.333982161,-0.061406113,-0.164336104,0.551919427
0,0,1,0,1,0,3,1,1,1,0,1,1,1,0,0.901373012,0.29323317,1.334870681,-0.203344861,1.286815455
0,0,1,1,1,2,2,3,1,1,1,1,1,0,9,1.048584566,0.70076537,-1.820992268,-0.155886209,-0.186396336
0,1,1,1,1,4,2,0,1,1,1,1,1,0,9,1.54431576,2.187902418,-0.113272101,-0.891774111,-0.156166811
0,0,1,0,1,3,2,3,1,1,0,1,1,0,11,-1.882749696,-0.120577713,-1.180954049,0.162114029,-0.946793928
0,1,1,0,1,2,2,3,0,1,0,1,1,0,6,0.154754963,1.809528229,-0.87683648,-0.695587638,-0.811728872
0,1,0,0,1,4,3,2,1,1,1,1,1,1,9,-1.510616147,-0.005253985,0.066447853,-0.678050557,0.033010435
0,1,1,0,1,2,2,0,1,1,1,1,1,1,11,-0.914552763,1.313632461,1.611457115,1.054195005,1.645620919
0,1,1,0,1,4,2,1,1,1,1,1,1,0,8,-1.031022798,-0.348786695,1.102093599,-3.074771681,-2.532862148
0,1,1,0,1,3,2,1,1,1,1,1,1,1,12,0.299840996,1.572970813,0.384978395,0.199718421,-0.799446895
0,0,1,0,1,3,3,3,0,1,1,1,0,0,17,0.186981406,-1.491633842,0.837991658,-0.84475987,0.458048565
0,0,1,0,1,2,2,3,1,0,1,1,1,0,12,0.111470648,0.300095977,-1.110744248,-0.958254155,-0.916293871
0,1,1,0,1,3,3,2,1,1,1,1,1,1,11,1.81898178,-0.817187056,0.597648153,-2.299529981,-0.507510601
0,1,1,0,1,3,3,2,1,1,1,1,1,1,11,-1.187212417,-0.736075773,0.129559636,-0.020049082,-1.01074259
0,1,1,1,1,2,2,0,1,1,1,1,1,1,15,0.459510498,-3.074697464,-0.074629058,0.855622481,0.284360619
0,0,1,0,0,1,2,3,1,0,0,1,1,1,9,4.606408704,1.575742621,0.938703802,-0.199423234,0.533942758
0,1,0,0,1,0,2,1,1,0,1,1,0,0,10,1.518968894,1.923527361,-0.482715334,-1.140344201,1.026099921
0,0,1,0,1,3,3,0,1,0,1,1,1,0,13,-1.260568173,-0.845687727,0.432682081,0.4524832,1.308422472
0,0,1,0,1,0,3,0,1,1,1,1,1,0,9,-2.153970765,-0.385959206,0.402553745,0.160583463,0.941221068
0,1,1,0,1,0,3,2,2,1,0,1,1,0,8,-2.376972511,1.552987926,0.133617889,0.442896493,0.733384935
0,1,0,0,1,3,3,3,1,1,1,1,1,0,10,2.678779793,2.663621745,0.180930038,-2.025054206,0.510064768
0,1,1,0,1,2,2,1,0,0,1,1,1,0,14,-1.662081041,1.044512113,-1.660646971,0.487677144,0.509916166
0,0,1,1,1,3,3,0,0,1,1,1,1,1,15,-0.624720489,2.704210079,1.394719361,0.128829609,-0.240550121
0,1,1,0,1,3,4,1,1,0,1,1,1,0,16,0.264390305,0.015468434,-0.498475405,0.249906743,0.371479067
0,1,0,1,1,4,2,1,0,1,1,1,1,0,10,1.558350802,-1.646886498,0.903004102,0.64408133,-0.915180088
0,0,1,1,1,4,4,3,1,0,1,1,1,0,10,-0.371278269,-1.404079064,-0.152630685,1.40155176,0.146076786
0,0,1,0,1,1,2,1,1,1,1,1,1,0,16,2.078517581,-1.16277984,-1.344107783,-1.39071577,-0.81246582
0,0,1,0,1,2,2,3,1,1,1,1,0,0,10,-2.108683367,0.309443725,-0.177068389,-2.504508727,-2.249573363
0,0,1,0,1,2,2,0,1,0,0,1,0,0,10,2.098639717,-1.552737937,0.761586232,-0.868466107,1.606644284
0,0,0,0,1,2,2,3,1,0,1,1,1,0,6,-1.184148702,-0.306243949,-1.884255241,0.179836848,-0.358265471
0,0,0,0,1,3,3,3,1,1,0,1,1,0,11,-0.511228233,-0.323473258,-0.838530772,0.501644808,-2.536109244
0,0,1,0,0,3,2,0,1,0,1,1,1,0,7,-0.856966903,-1.21804101,0.549926568,-0.204543108,0.400515847
0,0,1,0,1,4,2,2,1,1,1,1,1,1,13,3.164446553,0.485774252,-0.690839128,0.812179127,-1.078436374
0,0,1,0,1,0,2,1,1,0,1,1,0,0,10,-1.556831845,0.753606292,-1.708858132,-0.667149892,-0.747281424
0,0,0,0,1,4,2,3,1,1,1,1,1,1,7,-0.285107099,0.378172878,1.600236333,0.561643315,-0.503867791
0,0,1,0,1,2,2,3,2,1,1,1,1,0,8,2.176891633,1.2473366,-1.497983679,-1.214177007,-1.892026607
0,1,1,1,1,3,2,1,1,0,1,1,1,1,13,1.442378716,0.074832963,-0.807089419,-1.490692513,0.222142471
0,0,1,0,0,2,2,3,1,0,1,1,1,0,14,-0.590139994,-1.744251051,-0.197143746,0.350631484,-0.403372761
0,1,1,0,1,3,2,1,1,1,1,1,1,0,8,1.53087541,-1.901491551,-1.034126509,-0.162906758,0.430821413
0,0,0,1,1,3,2,2,1,0,1,1,0,0,10,1.325589138,-3.252450458,-1.189251284,0.70018075,0.095772056
0,0,1,1,1,2,2,3,1,0,1,1,1,0,15,-2.328891717,-0.897929887,1.675244011,-1.721310216,0.043490499
0,1,1,1,1,3,1,1,0,0,1,1,1,0,8,-3.121312069,0.518640958,-0.77994586,0.643327109,0.95429604
0,0,1,0,1,0,2,1,0,0,1,1,0,0,8,0.522640773,-1.60725748,-0.749660723,1.357695707,-1.734122144
0,0,1,0,1,0,0,0,1,1,1,1,1,0,10,-0.54485379,0.613898064,1.64857394,1.223792983,-0.730160801
0,0,0,0,1,0,3,3,1,1,1,1,1,0,6,-0.281898848,-0.146670138,0.306998267,0.62206164,0.212626663
0,0,1,0,1,0,2,3,1,1,1,1,0,1,0,4.422007655,0.968151261,2.01838576,-1.663731135,-0.107683932
0,0,1,0,1,3,4,2,1,0,1,1,1,0,17,0.260627891,-1.782773329,1.195242995,-1.189646007,-1.306459531
0,1,1,0,1,2,2,1,1,0,1,1,1,0,13,-1.530136639,0.956454033,0.151364634,-1.069146705,-1.90903362
0,0,1,0,1,4,3,1,1,1,0,1,1,0,14,-0.50522279,-1.551958479,0.654164875,0.703812453,-0.471430078
0,0,0,0,1,2,2,3,1,1,1,1,1,1,7,-0.381871633,2.521502704,-1.026649101,1.506933043,-1.915837593
0,0,1,0,1,2,2,0,1,1,0,1,1,0,15,-0.896983488,2.808547056,0.396435704,-1.025870334,-0.667552132
0,1,1,1,1,3,3,3,0,0,0,1,1,0,12,1.041149317,-2.515912177,0.263553512,-0.397418009,-0.335330639
